County,MSA,Bachelor's Degree,Graduate or Professional Degree,        High school graduate or higher,      Education attainment rate,
Alachua,Gainesville,39421,44299,162599,94.2,
Broward,Miami-Fort Lauderdale-Pompano Beach,320294,197949,1248496,89.4,
Hernando,Tampa-St. Petersburg-Clearwater,23966,9251,142213,91.5,
Hillsborough,Tampa-St. Petersburg-Clearwater,249952,146720,937800,89.7,
Leon,Tallahassee,45805,41270,168648,95.3,
Miami-Dade,Miami-Fort Lauderdale-Pompano Beach,409183,258888,1618001,84.3,
Palm Beach,Miami-Fort Lauderdale-Pompano Beach,279636,177465,994145,88.6,
Pasco,Tampa-St. Petersburg-Clearwater,85347,42463,406319,91.9,
Pinellas,Tampa-St. Petersburg-Clearwater,170998,109338,701284,93.2,
Erie,Buffalo-Cheektowaga,137612,116234,624013,92.6,
Jefferson,Watertown-Fort Drum,12338,7653,69874,93.2,
Niagara,Buffalo-Cheektowaga,26053,17864,141176,92.6,
Warren,Glens Falls,8919,7642,46651,93.9,
Bastrop,Austin,12477,6653,55724,79.5,
Hays,Austin,52200,25875,155719,93.3,
Taylor,Abilene,17712,7242,79772,89.6,
Travis,Austin,329953,204737,861639,91.8,
Williamson,Austin,146758,83242,432378,94.6,
