MSA,State Name,GDP,GDP chain Index,Current-dollar GDP
Abilene,Texas,7894587,115.635,9468978
Dallas-Fort Worth-Arlington,Texas,592452179,122.475,688928266
San Antonio-New Braunfels,Texas,140363477,118.026,163060744
Austin-Round Rock-Georgetown,Texas,193632474,137.228,222054436
McAllen-Edinburg-Mission,Texas,22818175,110.12,27685464
El Paso,Texas,34909594,114.798,43283173
Corpus Christi,Texas,21041917,99.852,28228125
Brownsville-Harlingen,Texas,12032752,112.097,14259129
Beaumont-Port Arthur,Texas,21846800,89.338,29006651
Lubbock,Texas,15090414,110.475,18116161
Killeen-Temple,Texas,20162704,109.778,24104514
Waco,Texas,13738578,107.9,16275790
Amarillo,Texas,14333013,109.882,17375642
College Station-Bryan,Texas,14510248,116.439,18180969
Laredo,Texas,11679742,103.237,17010397
Tyler,Texas,12000949,114.284,14728798
Longview,Texas,15441224,105.868,20258872
Wichita Falls,Texas,6301864,106.378,7590310
Odessa,Texas,11363572,108.449,14191593
Midland,Texas,30539430,139.518,55015425
Sherman-Denison,Texas,5325544,113.227,6330800
San Angelo,Texas,7372583,116.4,9237764
Victoria,Texas,4867121,106.665,5906748
Buffalo-Cheektowaga,New York,71301164,107.493,84673053
Rochester,New York,64229725,105.241,75085365
Watertown-Fort Drum,New York,6340740,98.731,7597846
Glens Falls,New York,6720621,109.895,8033710
New York-Newark-Jersey City-NJ-PA,New York,1870252821,109.112,2163208840
Albany-Schenectady-Troy,New York,68358828,112.02,80302855
Syracuse,New York,41061053,103.079,49280551
Binghamton,New York,10773238,100.095,12658766
Utica-Rome,New York,12813773,103.236,15114847
Kingston,New York,7659189,105.882,9052826
Elmira,New York,3638009,98.561,4336930
Ithaca,New York,6333133,103.142,7273599
Orlando-Kissimmee-Sanford,Florida,165757392,121.681,194472288
Jacksonville,Florida,99472666,123.812,117162018
North Port-Sarasota-Bradenton,Florida,41803908,121.481,49368638
Cape Coral-Fort Myers ,Florida,37489983,119.839,44628553
Lakeland-Winter Haven,Florida,30523799,118.574,37305232
Deltona-Daytona Beach-Ormond Beach,Florida,23588133,114.605,28134329
Palm Bay-Melbourne-Titusville,Florida,30082101,124.651,34625829
Port St. Lucie,Florida,20002318,119.46,24145603
Pensacola-Ferry Pass-Brent,Florida,22765668,112.641,27079985
Ocala,Florida,11682542,119.653,14033450
Crestview-Fort Walton Beach-Destin,Florida,18345980,127.529,21491107
Panama City,Florida,9794242,116.718,11683097
Homosassa Springs,Florida,4615213,124.588,5663913
Sebring-Avon Park,Florida,2666455,107.427,3214619
The Villages,Florida,4810632,149.948,5784932
Gainesville,Florida,16690497,115.238,19655180
Miami-Fort Lauderdale-Pompano Beach,Florida,409478365,118.02,483754676
Tallahassee,Florida,19154194,111.954,22394066
Tampa-St. Petersburg-Clearwater,Florida,187733776,122.974,219413810
,,,,
