County,Population,Population below poverty level,Poverty Rate,Year
Alachua,267956,51815,19.3,2022-01-01
Broward,1928519,256237,13.3,2022-01-01
Hernando,203355,23921,11.8,2022-01-01
Hillsborough,1482234,190472,12.9,2022-01-01
Leon,279053,53400,19.1,2022-01-01
Miami-Dade,2632203,379727,14.4,2022-01-01
Palm Beach,1489735,164260,11,2022-01-01
Pasco,601089,64538,10.7,2022-01-01
Pinellas,943121,117045,12.4,2022-01-01
Erie,926465,122301,13.2,2022-01-01
Jefferson,111212,15779,14.2,2022-01-01
Niagara,207079,31212,15.1,2022-01-01
Warren,64773,6249,9.6,2022-01-01
Bastrop,103359,13884,13.4,2022-01-01
Hays,261259,26986,10.3,2022-01-01
Taylor,139414,23971,17.2,2022-01-01
Travis,1306520,131756,10.1,2022-01-01
Williamson,666321,44050,6.6,2022-01-01
Alachua,265881,51142,19.2,2021-01-01
Broward,1912890,241133,12.6,2021-01-01
Hernando,197700,22658,11.5,2021-01-01
Hillsborough,1455659,208724,14.3,2021-01-01
Leon,280082,43856,15.7,2021-01-01
Miami-Dade,2631143,393101,14.9,2021-01-01
Palm Beach,1478327,168700,11.4,2021-01-01
Pasco,576982,66265,11.5,2021-01-01
Pinellas,941794,113978,12.1,2021-01-01
Erie,929241,126240,13.6,2021-01-01
Jefferson,109731,12012,10.9,2021-01-01
Niagara,207936,27420,13.2,2021-01-01
Warren,65012,5963,9.2,2021-01-01
Bastrop,99343,10302,10.4,2021-01-01
Hays,247811,38470,15.5,2021-01-01
Taylor,137865,27485,19.9,2021-01-01
Travis,1277981,144617,11.3,2021-01-01
Williamson,638442,41011,6.4,2021-01-01
Alachua,254198,52647,20.7,2020-01-01
Broward,1925837,244839,12.7,2020-01-01
Hernando,188073,27018,14.4,2020-01-01
Hillsborough,1430459,200179,14,2020-01-01
Leon,278529,54572,19.6,2020-01-01
Miami-Dade,2667927,427130,16,2020-01-01
Palm Beach,1461191,169844,11.6,2020-01-01
Pasco,531191,65092,12.3,2020-01-01
Pinellas,955568,110728,11.6,2020-01-01
Erie,892930,122418,13.7,2020-01-01
Jefferson,104597,15012,14.4,2020-01-01
